index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,status,hasLift,parkingSpace,newDevelopmentFinished,Week,topNewDevelopment
12,89205349,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/a1/b4/765876339.jpg,PB-GV179,14,1,159000.0,flat,sale,45.0,True,1,1,Gran Via de les Corts Catalanes,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3708117,2.1454216,False,https://www.idealista.com/inmueble/89205349/,2560,True,False,3533.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': 'Piso en Gran Via de les Corts Catalanes'}",True,False,False,good,True,,,16,
13,89201879,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/d8/49/765777531.jpg,VTA-SARA5,8,5,179000.0,flat,sale,70.0,True,3,1,Calle de Cantàbria,Barcelona,Barcelona,Sant Martí,es,Sant Martí de Provençals,41.4218509,2.1981963,False,https://www.idealista.com/inmueble/89201879/,4629,True,False,2557.0,{'typology': 'flat'},"{'subtitle': 'Sant Martí de Provençals, Barcelona', 'title': 'Piso en Calle de Cantàbria'}",True,False,False,renew,True,,,16,
14,89207087,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/a5/e9/765924979.jpg,60446947,7,bj,314000.0,flat,sale,95.0,True,3,2,"Calle de la Creu dels Molers, 87 -77",Barcelona,Barcelona,Sants-Montjuïc,es,El Poble Sec - Parc de Montjuïc,41.3717661,2.1609651,True,https://www.idealista.com/inmueble/89207087/,1858,False,False,3305.0,{'typology': 'flat'},"{'subtitle': 'El Poble Sec - Parc de Montjuïc, Barcelona', 'title': 'Piso en Calle de la Creu dels Molers, 87 -77'}",True,False,False,good,False,,,16,
15,89197590,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/0a/6b/765661175.jpg,SPCOR,23,5,210000.0,flat,sale,54.0,False,2,1,Calle de Còrsega,Barcelona,Barcelona,Eixample,es,La Sagrada Família,41.4110986,2.1764447,False,https://www.idealista.com/inmueble/89197590/,2709,True,False,3889.0,{'typology': 'flat'},"{'subtitle': 'La Sagrada Família, Barcelona', 'title': 'Piso en Calle de Còrsega'}",False,False,False,good,True,,,16,
16,89202597,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f4/10/8d/765794419.jpg,SFSIC,26,5,360000.0,flat,sale,81.0,False,3,2,Calle Sicilia,Barcelona,Barcelona,Gràcia,es,El Camp d'En Grassot i Gràcia Nova,41.4044261,2.1677902,False,https://www.idealista.com/inmueble/89202597/,1823,True,False,4444.0,{'typology': 'flat'},"{'subtitle': ""El Camp d'En Grassot i Gràcia Nova, Barcelona"", 'title': 'Piso en Calle Sicilia'}",False,False,False,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 22000.0}",,16,
17,89207646,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/30/86/ce/765942379.jpg,AV ESPL,20,3,159000.0,flat,sale,80.0,True,4,1,Carretera ESPLUGUES,Barcelona,Hospitalet de Llobregat,Can Serra - Pubilla Cases,es,Can Serra,41.3661174,2.0961381,False,https://www.idealista.com/inmueble/89207646/,6297,True,False,1988.0,{'typology': 'flat'},"{'subtitle': 'Can Serra, Hospitalet de Llobregat', 'title': 'Piso en Carretera ESPLUGUES'}",False,False,False,renew,True,,,16,
18,89197762,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/8e/60/765665615.jpg,LLECOR,21,7,109000.0,flat,sale,72.0,True,3,1,cordova,Barcelona,Badalona,Llefià - Sant Roc - Artigues,es,Sant Roc,41.4332803,2.2224402,False,https://www.idealista.com/inmueble/89197762/,6901,True,False,1514.0,{'typology': 'flat'},"{'subtitle': 'Sant Roc, Badalona', 'title': 'Piso en cordova'}",False,False,False,good,True,,,16,
19,88686304,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/ca/b9/752698106.jpg,VPO135,25,3,135000.0,flat,sale,77.0,True,3,1,MAR,Barcelona,Sant Adriá de Besós,,es,,41.4150624,2.2200559,False,https://www.idealista.com/inmueble/88686304/,5435,False,False,1753.0,{'typology': 'flat'},"{'subtitle': 'Sant Adriá de Besós', 'title': 'Piso en MAR'}",False,False,False,good,True,,,16,
20,89204469,,VTA-ALVPROV,0,3,224900.0,flat,sale,70.0,True,3,1,Calle de Provençals,Barcelona,Barcelona,Sant Martí,es,Sant Martí de Provençals,41.4157499,2.1944696,False,https://www.idealista.com/inmueble/89204469/,3899,True,False,3213.0,{'typology': 'flat'},"{'subtitle': 'Sant Martí de Provençals, Barcelona', 'title': 'Piso en Calle de Provençals'}",False,False,False,good,True,,,16,
21,89202089,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a3/54/72/765785390.jpg,elena160SM,10,6,160000.0,flat,sale,91.0,True,3,1,barrio La Verneda i la Pau,Barcelona,Barcelona,Sant Martí,es,La Verneda i la Pau,41.4204523,2.2091545,False,https://www.idealista.com/inmueble/89202089/,5106,True,False,1758.0,{'typology': 'flat'},"{'subtitle': 'La Verneda i la Pau, Barcelona', 'title': 'Piso'}",False,False,False,renew,True,,,16,
